,candidate,county,votes
166,Hillary Clinton,Fayette,23284
167,Other,Fayette,2103
168,Donald J. Trump,Floyd,24114
169,Hillary Clinton,Floyd,9159
170,Other,Floyd,1084
171,Donald J. Trump,Forsyth,69851
172,Hillary Clinton,Forsyth,23462
173,Other,Forsyth,4091
174,Donald J. Trump,Franklin,7054
175,Hillary Clinton,Franklin,1243
176,Other,Franklin,177
177,Donald J. Trump,Fulton,117783
178,Hillary Clinton,Fulton,297051
179,Other,Fulton,15765
180,Donald J. Trump,Gilmer,10477
181,Hillary Clinton,Gilmer,1965
182,Other,Gilmer,293
183,Donald J. Trump,Glascock,1235
184,Hillary Clinton,Glascock,138
185,Other,Glascock,17
186,Donald J. Trump,Glynn,21512
187,Hillary Clinton,Glynn,11775
188,Other,Glynn,825
189,Donald J. Trump,Gordon,15191
190,Hillary Clinton,Gordon,3181
191,Other,Gordon,507
192,Donald J. Trump,Grady,6053
193,Hillary Clinton,Grady,3013
194,Other,Grady,135
195,Donald J. Trump,Greene,5490
196,Hillary Clinton,Greene,3199
197,Other,Greene,151
198,Donald J. Trump,Gwinnett,146989
199,Hillary Clinton,Gwinnett,166153
200,Other,Gwinnett,12494
201,Donald J. Trump,Habersham,13190
202,Hillary Clinton,Habersham,2483
203,Other,Habersham,461
204,Donald J. Trump,Hall,51733
205,Hillary Clinton,Hall,16180
206,Other,Hall,2307
207,Donald J. Trump,Hancock,843
208,Hillary Clinton,Hancock,2701
209,Other,Hancock,36
210,Donald J. Trump,Haralson,9585
211,Hillary Clinton,Haralson,1475
212,Other,Haralson,264
213,Donald J. Trump,Harris,11936
214,Hillary Clinton,Harris,4086
215,Other,Harris,379
216,Donald J. Trump,Hart,7286
217,Hillary Clinton,Hart,2585
218,Other,Hart,209
219,Donald J. Trump,Heard,3370
220,Hillary Clinton,Heard,743
221,Other,Heard,93
222,Donald J. Trump,Henry,45724
223,Hillary Clinton,Henry,50057
224,Other,Henry,2505
225,Donald J. Trump,Houston,35430
226,Hillary Clinton,Houston,22553
227,Other,Houston,1761
228,Donald J. Trump,Irwin,2716
229,Hillary Clinton,Irwin,891
230,Other,Irwin,58
231,Donald J. Trump,Jackson,21784
232,Hillary Clinton,Jackson,4491
233,Other,Jackson,834
234,Donald J. Trump,Jasper,4360
235,Hillary Clinton,Jasper,1544
236,Other,Jasper,119
237,Donald J. Trump,Jeff Davis,4104
238,Hillary Clinton,Jeff Davis,901
239,Other,Jeff Davis,86
240,Donald J. Trump,Jefferson,3063
241,Hillary Clinton,Jefferson,3821
242,Other,Jefferson,70
243,Donald J. Trump,Jenkins,1895
244,Hillary Clinton,Jenkins,1123
245,Other,Jenkins,34
